what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264091146572
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264091146720
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264091146875
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264091147008
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264091150918
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1264091162995
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264091380224
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264091753221
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264091757246
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264093232805
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264093249566
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264093309024
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264093340952
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264093349128
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264093349210
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264093356556
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1264093375469
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1264093388126
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1264093390340
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264093393249
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264093401338
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264093401411
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264093420930
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264093431523
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264093440831
